Month,HBT,Specialty,Within18Weeks,Within18WeeksQF,Over18Weeks,Over18WeeksQF,Unknown,UnknownQF,Performance,PerformanceQF,Completeness,CompletenessQF
201101,S08000015,All Specialties,4299,,1670,,1975,,72.0221142569945,,75.138469284995,
201102,S08000015,All Specialties,4742,,1686,,2089,,73.7710018668326,,75.4725842432781,
201103,S08000015,All Specialties,5760,,1566,,2656,,78.6240786240786,,73.3921057904228,
201104,S08000015,All Specialties,3978,,936,,1680,,80.9523809523809,,74.5222929936306,
201105,S08000015,All Specialties,4850,,957,,1715,,83.5198897881867,,77.2002127093858,
201106,S08000015,All Specialties,5470,,884,,1922,,86.0875039345294,,76.7762203963267,
201107,S08000015,All Specialties,4864,,837,,1949,,85.3183651990879,,74.5228758169935,
201108,S08000015,All Specialties,6555,,829,,2504,,88.773022751896,,74.6763754045307,
201109,S08000015,All Specialties,5702,,749,,2077,,88.3893969927143,,75.6449343339587,
201110,S08000015,All Specialties,5498,,802,,2428,,87.2698412698413,,72.1814848762603,
201111,S08000015,All Specialties,6098,,822,,2341,,88.121387283237,,74.7219522729727,
201112,S08000015,All Specialties,5753,,556,,2223,,91.1871928990331,,73.9451476793249,
201201,S08000015,All Specialties,6362,,566,,1948,,91.8302540415704,,78.0531771068049,
201202,S08000015,All Specialties,6660,,525,,1342,,92.6931106471816,,84.2617567726047,
201203,S08000015,All Specialties,6483,,548,,739,,92.2059451002702,,90.4890604890605,
201204,S08000015,All Specialties,5460,,450,,555,,92.3857868020305,,91.415313225058,
201205,S08000015,All Specialties,6811,,486,,634,,93.3397286556119,,92.006052200227,
201206,S08000015,All Specialties,6088,,525,,532,,92.0610917889007,,92.554233729881,
201207,S08000015,All Specialties,5880,,545,,502,,91.5175097276265,,92.7529955247582,
201208,S08000015,All Specialties,6473,,690,,586,,90.3671645958397,,92.4377339011485,
201209,S08000015,All Specialties,5673,,661,,471,,89.5642563940638,,93.078618662748,
201210,S08000015,All Specialties,6671,,680,,1213,,90.7495578832812,,85.8360579168613,
201211,S08000015,All Specialties,6555,,726,,578,,90.0288421920066,,92.6453747296094,
201212,S08000015,All Specialties,5569,,496,,789,,91.8219291014015,,88.4884738838634,
201301,S08000015,All Specialties,6649,,628,,913,,91.3700700838258,,88.8522588522588,
201302,S08000015,All Specialties,6397,,665,,784,,90.583404134806,,90.0076472087688,
201303,S08000015,All Specialties,6052,,518,,756,,92.1156773211568,,89.6805896805897,
201304,S08000015,All Specialties,6000,,523,,646,,91.9822167714242,,90.9889803319849,
201305,S08000015,All Specialties,6288,,483,,633,,92.8666371289322,,91.45056726094,
201306,S08000015,All Specialties,5973,,455,,647,,92.9215930304916,,90.8551236749117,
201307,S08000015,All Specialties,6091,,488,,563,,92.5824593403253,,92.1170540464856,
201308,S08000015,All Specialties,6468,,535,,578,,92.3604169641582,,92.3756760321857,
201309,S08000015,All Specialties,5961,,507,,621,,92.1614100185529,,91.2399492170969,
201310,S08000015,All Specialties,6892,,582,,792,,92.2130050842922,,90.4185821437213,
201311,S08000015,All Specialties,6253,,612,,571,,91.0852148579752,,92.3211403980635,
201312,S08000015,All Specialties,5691,,438,,580,,92.85364659814,,91.3548964078104,
201401,S08000015,All Specialties,6289,,673,,746,,90.3332375754094,,90.3217436429683,
201402,S08000015,All Specialties,5858,,622,,653,,90.4012345679012,,90.8453666059162,
201403,S08000015,All Specialties,6151,,645,,703,,90.5091230135374,,90.6254167222296,
201404,S08000015,All Specialties,5890,,562,,557,,91.2895226286423,,92.0530746183478,
201405,S08000015,All Specialties,6251,,561,,502,,91.7645331767469,,93.1364506426032,
