Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000015,S08000015,,Breast,,533,,525,
2012Q1,S08000015,S08000015,,Cervical,,352,,353,
2012Q1,S08000015,S08000015,,Colorectal,,447,,450,
2012Q1,S08000015,S08000015,,Head & Neck,,13,,14,
2012Q1,S08000015,S08000015,,Lung,,440,,441,
2012Q1,S08000015,S08000015,,Lymphoma,,209,,210,
2012Q1,S08000015,S08000015,,Melanoma,,81,,97,
2012Q1,S08000015,S08000015,,Ovarian,,483,,479,
2012Q1,S08000015,S08000015,,Upper GI,,218,,221,
2012Q1,S08000015,S08000015,,Urological,,501,,489,
2012Q1,S08000015,S08000015,,All Cancer Types,d,296,,302,
2012Q1,S08000015,S08000017,,Breast,,157,,158,
2012Q1,S08000015,S08000017,,All Cancer Types,d,157,,158,
2012Q1,S08000015,S08000020,,Lung,,1,,2,
2012Q1,S08000015,S08000020,,All Cancer Types,d,1,,2,
2012Q1,S08000015,S08000031,,Breast,,538,,527,
2012Q1,S08000015,S08000031,,Cervical,,1,,2,
2012Q1,S08000015,S08000031,,Colorectal,,260,,158,
2012Q1,S08000015,S08000031,,Head & Neck,,483,,424,
2012Q1,S08000015,S08000031,,Lung,,81,,97,
2012Q1,S08000015,S08000031,,Melanoma,,157,,158,
2012Q1,S08000015,S08000031,,Ovarian,,483,,479,
2012Q1,S08000015,S08000031,,Upper GI,,105,,114,
2012Q1,S08000015,S08000031,,Urological,,1,,2,
2012Q1,S08000015,S08000031,,All Cancer Types,d,474,,462,
2012Q1,S08000015,S92000003,d,Breast,,562,,557,
2012Q1,S08000015,S92000003,d,Cervical,,423,,424,
2012Q1,S08000015,S92000003,d,Colorectal,,467,,459,
2012Q1,S08000015,S92000003,d,Head & Neck,,121,,114,
2012Q1,S08000015,S92000003,d,Lung,,522,,515,
2012Q1,S08000015,S92000003,d,Lymphoma,,209,,210,
2012Q1,S08000015,S92000003,d,Melanoma,,121,,129,
2012Q1,S08000015,S92000003,d,Ovarian,,24,,25,
2012Q1,S08000015,S92000003,d,Upper GI,,370,,365,
2012Q1,S08000015,S92000003,d,Urological,,504,,490,
2012Q1,S08000015,S92000003,d,All Cancer Types,d,354,,351,
2012Q1,S08000015,SB0801,,Lung,,483,,479,
2012Q1,S08000015,SB0801,,All Cancer Types,d,483,,479,
2012Q1,S08000016,S08000016,,Breast,,105,,114,
2012Q1,S08000016,S08000016,,Cervical,,1,,2,
2012Q1,S08000016,S08000016,,Colorectal,,137,,140,
2012Q1,S08000016,S08000016,,Head & Neck,,157,,158,
2012Q1,S08000016,S08000016,,Lung,,148,,150,
2012Q1,S08000016,S08000016,,Lymphoma,,511,,504,
2012Q1,S08000016,S08000016,,Melanoma,,260,,265,
2012Q1,S08000016,S08000016,,Ovarian,,260,,265,
2012Q1,S08000016,S08000016,,Upper GI,,2,,3,
2012Q1,S08000016,S08000016,,Urological,,167,,168,
2012Q1,S08000016,S08000016,,All Cancer Types,d,3,,4,
2012Q1,S08000016,S08000024,,Breast,,1,,2,
2012Q1,S08000016,S08000024,,Colorectal,,157,,158,
2012Q1,S08000016,S08000024,,Head & Neck,,157,,158,
2012Q1,S08000016,S08000024,,Lung,,483,,479,
2012Q1,S08000016,S08000024,,Melanoma,,1,,2,
2012Q1,S08000016,S08000024,,Ovarian,,1,,2,
2012Q1,S08000016,S08000024,,Upper GI,,157,,158,
2012Q1,S08000016,S08000024,,Urological,,260,,265,
2012Q1,S08000016,S08000024,,All Cancer Types,d,137,,140,
2012Q1,S08000016,S92000003,d,Breast,,121,,129,
2012Q1,S08000016,S92000003,d,Cervical,,1,,2,
2012Q1,S08000016,S92000003,d,Colorectal,,158,,159,
2012Q1,S08000016,S92000003,d,Head & Neck,,352,,353,
2012Q1,S08000016,S92000003,d,Lung,,209,,210,
2012Q1,S08000016,S92000003,d,Lymphoma,,511,,504,
2012Q1,S08000016,S92000003,d,Melanoma,,352,,353,
2012Q1,S08000016,S92000003,d,Ovarian,,352,,353,
2012Q1,S08000016,S92000003,d,Upper GI,,24,,25,
2012Q1,S08000016,S92000003,d,Urological,,198,,199,
2012Q1,S08000016,S92000003,d,All Cancer Types,d,22,,23,
2012Q1,S08000017,S08000017,,Breast,,158,,159,
2012Q1,S08000017,S08000017,,Colorectal,,292,,277,
2012Q1,S08000017,S08000017,,Head & Neck,,260,,265,
2012Q1,S08000017,S08000017,,Lung,,121,,129,
2012Q1,S08000017,S08000017,,Lymphoma,,2,,3,
2012Q1,S08000017,S08000017,,Melanoma,,352,,353,
2012Q1,S08000017,S08000017,,Ovarian,,352,,353,
2012Q1,S08000017,S08000017,,Upper GI,,137,,140,
2012Q1,S08000017,S08000017,,Urological,,250,,254,
2012Q1,S08000017,S08000017,,All Cancer Types,d,50,,53,
2012Q1,S08000017,S08000024,,Breast,,260,,265,
2012Q1,S08000017,S08000024,,Cervical,,1,,2,
2012Q1,S08000017,S08000024,,Head & Neck,,260,,265,
2012Q1,S08000017,S08000024,,Lung,,260,,265,
2012Q1,S08000017,S08000024,,Melanoma,,1,,2,
2012Q1,S08000017,S08000024,,Ovarian,,1,,2,
2012Q1,S08000017,S08000024,,Upper GI,,423,,424,
2012Q1,S08000017,S08000024,,Urological,,53,,38,
2012Q1,S08000017,S08000024,,All Cancer Types,d,272,,266,
2012Q1,S08000017,S08000031,,Colorectal,,1,,2,
2012Q1,S08000017,S08000031,,Head & Neck,,157,,158,
2012Q1,S08000017,S08000031,,All Cancer Types,d,260,,265,
2012Q1,S08000017,S92000003,d,Breast,,188,,190,
2012Q1,S08000017,S92000003,d,Cervical,,1,,2,
2012Q1,S08000017,S92000003,d,Colorectal,,300,,288,
2012Q1,S08000017,S92000003,d,Head & Neck,,538,,527,
2012Q1,S08000017,S92000003,d,Lung,,177,,179,
2012Q1,S08000017,S92000003,d,Lymphoma,,2,,3,
2012Q1,S08000017,S92000003,d,Melanoma,,423,,424,
2012Q1,S08000017,S92000003,d,Ovarian,,423,,424,
2012Q1,S08000017,S92000003,d,Upper GI,,188,,190,
2012Q1,S08000017,S92000003,d,Urological,,376,,365,
2012Q1,S08000017,S92000003,d,All Cancer Types,d,130,,131,
2012Q1,S08000017,SB0801,,Lung,,157,,158,
2012Q1,S08000017,SB0801,,All Cancer Types,d,157,,158,
2012Q1,S08000019,S08000019,,Breast,,359,,354,
2012Q1,S08000019,S08000019,,Cervical,,1,,2,
2012Q1,S08000019,S08000019,,Colorectal,,376,,365,
2012Q1,S08000019,S08000019,,Head & Neck,,260,,265,
2012Q1,S08000019,S08000019,,Lung,,228,,232,
2012Q1,S08000019,S08000019,,Lymphoma,,24,,25,
2012Q1,S08000019,S08000019,,Melanoma,,572,,562,
2012Q1,S08000019,S08000019,,Ovarian,,483,,479,
2012Q1,S08000019,S08000019,,Upper GI,,158,,159,
2012Q1,S08000019,S08000019,,Urological,,500,,462,
2012Q1,S08000019,S08000019,,All Cancer Types,d,184,,175,
2012Q1,S08000019,S08000024,,Lung,,1,,2,
2012Q1,S08000019,S08000024,,All Cancer Types,d,1,,2,
2012Q1,S08000019,S08000031,,Breast,,157,,2,
2012Q1,S08000019,S08000031,,Cervical,,1,,1,
2012Q1,S08000019,S08000031,,Colorectal,,260,,265,
2012Q1,S08000019,S08000031,,Head & Neck,,511,,504,
2012Q1,S08000019,S08000031,,Lung,,177,,168,
2012Q1,S08000019,S08000031,,Ovarian,,260,,265,
2012Q1,S08000019,S08000031,,Upper GI,,538,,527,
2012Q1,S08000019,S08000031,,Urological,,1,,2,
2012Q1,S08000019,S08000031,,All Cancer Types,d,400,,375,
2012Q1,S08000019,S92000003,d,Breast,,376,,357,
2012Q1,S08000019,S92000003,d,Cervical,,157,,2,
2012Q1,S08000019,S92000003,d,Colorectal,,394,,382,
2012Q1,S08000019,S92000003,d,Head & Neck,,2,,3,
2012Q1,S08000019,S92000003,d,Lung,,467,,459,
2012Q1,S08000019,S92000003,d,Lymphoma,,24,,25,
2012Q1,S08000019,S92000003,d,Melanoma,,572,,562,
2012Q1,S08000019,S92000003,d,Ovarian,,572,,562,
2012Q1,S08000019,S92000003,d,Upper GI,,239,,243,
2012Q1,S08000019,S92000003,d,Urological,,501,,470,
2012Q1,S08000019,S92000003,d,All Cancer Types,d,240,,229,
2012Q1,S08000019,SB0801,,Lung,,483,,479,
2012Q1,S08000019,SB0801,,All Cancer Types,d,483,,479,
2012Q1,S08000020,S08000020,,Breast,,27,,23,
2012Q1,S08000020,S08000020,,Cervical,,352,,353,
2012Q1,S08000020,S08000020,,Colorectal,,522,,513,
2012Q1,S08000020,S08000020,,Head & Neck,,188,,190,
2012Q1,S08000020,S08000020,,Lung,,508,,498,
2012Q1,S08000020,S08000020,,Lymphoma,,483,,479,
2012Q1,S08000020,S08000020,,Melanoma,,218,,221,
2012Q1,S08000020,S08000020,,Ovarian,,572,,562,
2012Q1,S08000020,S08000020,,Upper GI,,461,,455,
2012Q1,S08000020,S08000020,,Urological,,19,,9,
2012Q1,S08000020,S08000020,,All Cancer Types,d,426,,414,
2012Q1,S08000020,S08000024,,Urological,,157,,158,
2012Q1,S08000020,S08000024,,All Cancer Types,d,157,,158,
2012Q1,S08000020,S92000003,d,Breast,,27,,23,
2012Q1,S08000020,S92000003,d,Cervical,,352,,353,
2012Q1,S08000020,S92000003,d,Colorectal,,522,,513,
2012Q1,S08000020,S92000003,d,Head & Neck,,188,,190,
2012Q1,S08000020,S92000003,d,Lung,,508,,498,
2012Q1,S08000020,S92000003,d,Lymphoma,,483,,479,
2012Q1,S08000020,S92000003,d,Melanoma,,218,,221,
2012Q1,S08000020,S92000003,d,Ovarian,,572,,562,
2012Q1,S08000020,S92000003,d,Upper GI,,461,,455,
2012Q1,S08000020,S92000003,d,Urological,,21,,11,
2012Q1,S08000020,S92000003,d,All Cancer Types,d,427,,416,
2012Q1,S08000022,S08000020,,Head & Neck,,1,,2,
2012Q1,S08000022,S08000020,,Ovarian,,1,,2,
2012Q1,S08000022,S08000020,,All Cancer Types,d,157,,158,
2012Q1,S08000022,S08000022,,Breast,,474,,474,
2012Q1,S08000022,S08000022,,Cervical,,260,,265,
2012Q1,S08000022,S08000022,,Colorectal,,337,,323,
2012Q1,S08000022,S08000022,,Head & Neck,,35,,25,
2012Q1,S08000022,S08000022,,Lung,,376,,369,
2012Q1,S08000022,S08000022,,Lymphoma,,81,,97,
2012Q1,S08000022,S08000022,,Melanoma,,53,,68,
2012Q1,S08000022,S08000022,,Ovarian,,352,,353,
2012Q1,S08000022,S08000022,,Upper GI,,300,,307,
2012Q1,S08000022,S08000022,,Urological,,394,,369,
2012Q1,S08000022,S08000022,,All Cancer Types,d,226,,224,
2012Q1,S08000022,S08000024,,Breast,,1,,2,
2012Q1,S08000022,S08000024,,Melanoma,,1,,2,
2012Q1,S08000022,S08000024,,Urological,,1,,2,
2012Q1,S08000022,S08000024,,All Cancer Types,d,260,,265,
2012Q1,S08000022,S08000031,,Lung,,352,,353,
