Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q1,S08000015,,S08000015,Breast,,292,,287,
2012Q1,S08000015,,S08000015,Cervical,,113,,109,
2012Q1,S08000015,,S08000015,Colorectal,,211,,195,
2012Q1,S08000015,,S08000015,Head & Neck,,113,,109,
2012Q1,S08000015,,S08000015,Lung,,228,,222,
2012Q1,S08000015,,S08000015,Lymphoma,,2,,388,
2012Q1,S08000015,,S08000015,Melanoma,,113,,109,
2012Q1,S08000015,,S08000015,Ovarian,,113,,109,
2012Q1,S08000015,,S08000015,Upper GI,,135,,132,
2012Q1,S08000015,,S08000015,Urological,,29,,14,
2012Q1,S08000015,,S08000015,All Cancer Types,d,80,,72,
2012Q1,S08000015,,S08000017,Breast,,113,,109,
2012Q1,S08000015,,S08000017,All Cancer Types,d,113,,109,
2012Q1,S08000015,,S08000020,Lung,,1,,2,
2012Q1,S08000015,,S08000020,All Cancer Types,d,1,,2,
2012Q1,S08000015,,S08000031,Breast,,284,,203,
2012Q1,S08000015,,S08000031,Cervical,,1,,2,
2012Q1,S08000015,,S08000031,Colorectal,,1,,2,
2012Q1,S08000015,,S08000031,Head & Neck,,1,,2,
2012Q1,S08000015,,S08000031,Lung,,340,,331,
2012Q1,S08000015,,S08000031,Melanoma,,1,,1,
2012Q1,S08000015,,S08000031,Ovarian,,203,,109,
2012Q1,S08000015,,S08000031,Upper GI,,316,,279,
2012Q1,S08000015,,S08000031,Urological,,1,,2,
2012Q1,S08000015,,S08000031,All Cancer Types,d,175,,121,
2012Q1,S08000015,,SB0801,Lung,,113,,109,
2012Q1,S08000015,,SB0801,All Cancer Types,d,113,,109,
2012Q1,S08000016,,S08000016,Breast,,316,,306,
2012Q1,S08000016,,S08000016,Cervical,,1,,2,
2012Q1,S08000016,,S08000016,Colorectal,,39,,34,
2012Q1,S08000016,,S08000016,Head & Neck,,1,,2,
2012Q1,S08000016,,S08000016,Lung,,39,,34,
2012Q1,S08000016,,S08000016,Lymphoma,,203,,203,
2012Q1,S08000016,,S08000016,Melanoma,,203,,203,
2012Q1,S08000016,,S08000016,Ovarian,,113,,109,
2012Q1,S08000016,,S08000016,Upper GI,,316,,306,
2012Q1,S08000016,,S08000016,Urological,,39,,34,
2012Q1,S08000016,,S08000016,All Cancer Types,d,320,,308,
2012Q1,S08000016,,S08000024,Breast,,1,,2,
2012Q1,S08000016,,S08000024,Colorectal,,113,,2,
2012Q1,S08000016,,S08000024,Head & Neck,,1,,2,
2012Q1,S08000016,,S08000024,Lung,,203,,203,
2012Q1,S08000016,,S08000024,Melanoma,,1,,2,
2012Q1,S08000016,,S08000024,Upper GI,,1,,2,
2012Q1,S08000016,,S08000024,Urological,,1,,2,
2012Q1,S08000016,,S08000024,All Cancer Types,d,2,,388,
2012Q1,S08000017,,S08000017,Breast,,368,,369,
2012Q1,S08000017,,S08000017,Colorectal,,114,,110,
2012Q1,S08000017,,S08000017,Head & Neck,,113,,109,
2012Q1,S08000017,,S08000017,Lung,,29,,24,
2012Q1,S08000017,,S08000017,Lymphoma,,113,,109,
2012Q1,S08000017,,S08000017,Melanoma,,203,,203,
2012Q1,S08000017,,S08000017,Ovarian,,113,,109,
2012Q1,S08000017,,S08000017,Upper GI,,81,,78,
2012Q1,S08000017,,S08000017,Urological,,81,,78,
2012Q1,S08000017,,S08000017,All Cancer Types,d,379,,376,
2012Q1,S08000017,,S08000024,Breast,,203,,203,
2012Q1,S08000017,,S08000024,Head & Neck,,1,,2,
2012Q1,S08000017,,S08000024,Lung,,113,,109,
2012Q1,S08000017,,S08000024,Melanoma,,1,,2,
2012Q1,S08000017,,S08000024,Ovarian,,1,,2,
2012Q1,S08000017,,S08000024,Upper GI,,252,,240,
2012Q1,S08000017,,S08000024,Urological,,252,,109,
2012Q1,S08000017,,S08000024,All Cancer Types,d,70,,45,
2012Q1,S08000017,,S08000031,Head & Neck,,113,,109,
2012Q1,S08000017,,S08000031,All Cancer Types,d,113,,109,
2012Q1,S08000017,,SB0801,Lung,,1,,2,
