"MonthEnding","HBT","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20070930","S08000015","Endoscopy","All Endoscopy",655,"d",174,"d",43,"d"
"20071231","S08000015","Endoscopy","All Endoscopy",747,"d",443,"d",164,"d"
"20080131","S08000015","Endoscopy","All Endoscopy",955,"d",184,"d",81,"d"
"20080229","S08000015","Endoscopy","All Endoscopy",937,"d",271,"d",111,"d"
"20080331","S08000015","Endoscopy","All Endoscopy",818,"d",189,"d",56,"d"
"20080430","S08000015","Endoscopy","All Endoscopy",892,"d",199,"d",71,"d"
"20080531","S08000015","Endoscopy","All Endoscopy",764,"d",225,"d",71,"d"
"20080630","S08000015","Endoscopy","All Endoscopy",566,"d",116,"d",52,"d"
"20080731","S08000015","Endoscopy","All Endoscopy",844,"d",258,"d",107,"d"
"20080831","S08000015","Endoscopy","All Endoscopy",743,"d",193,"d",72,"d"
"20080930","S08000015","Endoscopy","All Endoscopy",770,"d",185,"d",69,"d"
"20081031","S08000015","Endoscopy","All Endoscopy",832,"d",205,"d",109,"d"
"20081130","S08000015","Endoscopy","All Endoscopy",799,"d",184,"d",66,"d"
"20081231","S08000015","Endoscopy","All Endoscopy",710,"d",228,"d",74,"d"
"20090131","S08000015","Endoscopy","All Endoscopy",733,"d",149,"d",78,"d"
"20090228","S08000015","Endoscopy","All Endoscopy",681,"d",81,"d",7,"d"
"20090331","S08000015","Endoscopy","All Endoscopy",798,"d",0,"d",0,"d"
"20090430","S08000015","Endoscopy","All Endoscopy",580,"d",1,"d",1,"d"
"20090531","S08000015","Endoscopy","All Endoscopy",518,"d",0,"d",0,"d"
"20090630","S08000015","Endoscopy","All Endoscopy",563,"d",0,"d",0,"d"
"20090731","S08000015","Endoscopy","All Endoscopy",630,"d",1,"d",1,"d"
"20090831","S08000015","Endoscopy","All Endoscopy",532,"d",0,"d",0,"d"
