"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","S08000015","Total","d",3540,3570,3360,2430,"500"," "
"1997/98","S08000015","SMR01"," ",900,910,870,780," ",":"
"1997/98","S08000015","SMR04"," ",2640,2660,2490,1780,"500"," "
"1997/98","S08000016","Total","d",900,930,860,610,"130"," "
"1997/98","S08000016","SMR01"," ",220,230,220,200," ",":"
"1997/98","S08000016","SMR04"," ",680,700,650,450,"130"," "
"1997/98","S08000017","Total","d",1100,1120,1030,820,"270"," "
"1997/98","S08000017","SMR01"," ",250,250,230,210," ",":"
"1997/98","S08000017","SMR04"," ",850,860,800,640,"270"," "
"1997/98","S08000029","Total","d",2200,2220,1980,1460,"500"," "
"1997/98","S08000029","SMR01"," ",290,290,250,240," ",":"
"1997/98","S08000029","SMR04"," ",1910,1930,1730,1260,"500"," "
"1997/98","S08000019","Total","d",1880,1930,1680,1250,"390"," "
"1997/98","S08000019","SMR01"," ",290,300,260,240," ",":"
"1997/98","S08000019","SMR04"," ",1590,1640,1430,1050,"390"," "
"1997/98","S08000020","Total","d",3370,3420,3180,2470,"650"," "
"1997/98","S08000020","SMR01"," ",1000,990,910,810," ",":"
"1997/98","S08000020","SMR04"," ",2370,2430,2270,1740,"650"," "
"1997/98","S08000031","Total","d",11320,11370,10280,7920,"2200"," "
"1997/98","S08000031","SMR01"," ",2690,2680,2440,2210," ",":"
"1997/98","S08000031","SMR04"," ",8630,8690,7840,5950,"2200"," "
"1997/98","S08000022","Total","d",3070,3090,2820,2090,"350"," "
"1997/98","S08000022","SMR01"," ",1010,1010,930,770," ",":"
"1997/98","S08000022","SMR04"," ",2060,2080,1890,1470,"350"," "
"1997/98","S08000032","Total","d",3230,3190,2930,2250,"680"," "
"1997/98","S08000032","SMR01"," ",660,660,630,580," ",":"
"1997/98","S08000032","SMR04"," ",2570,2520,2300,1750,"680"," "
"1997/98","S08000024","Total","d",6610,6680,6150,4290,"1140"," "
"1997/98","S08000024","SMR01"," ",1130,1140,990,880," ",":"
"1997/98","S08000024","SMR04"," ",5480,5540,5160,3540,"1140"," "
"1997/98","S08000025","Total","d",60,70,60,60,"0"," "
"1997/98","S08000025","SMR01"," ",60,70,60,60," ",":"
"1997/98","S08000025","SMR04"," ",0,0,0,0,"0"," "
"1997/98","S08000026","Total","d",120,120,120,90,"0"," "
"1997/98","S08000026","SMR01"," ",120,120,120,90," ",":"
"1997/98","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1997/98","S08000030","Total","d",3670,3690,3350,2560,"780"," "
"1997/98","S08000030","SMR01"," ",710,710,660,620," ",":"
"1997/98","S08000030","SMR04"," ",2960,2980,2680,2040,"780"," "
"1997/98","S08000028","Total","d",300,320,310,210,"30"," "
"1997/98","S08000028","SMR01"," ",130,130,130,100," ",":"
"1997/98","S08000028","SMR04"," ",180,190,180,110,"30"," "
"1997/98","SB0802","Total","d",80,80,30,80,"220"," "
"1997/98","SB0802","SMR01"," ",0,0,0,0," ",":"
"1997/98","SB0802","SMR04"," ",80,80,30,80,"220"," "
"1998/99","S08000015","Total","d",3520,3560,3340,2390,"470"," "
"1998/99","S08000015","SMR01"," ",850,850,800,700," ",":"
"1998/99","S08000015","SMR04"," ",2680,2700,2540,1810,"470"," "
"1998/99","S08000016","Total","d",860,870,800,610,"120"," "
"1998/99","S08000016","SMR01"," ",220,220,200,190," ",":"
"1998/99","S08000016","SMR04"," ",640,650,600,450,"120"," "
"1998/99","S08000017","Total","d",1140,1180,1070,880,"230"," "
"1998/99","S08000017","SMR01"," ",310,310,280,260," ",":"
"1998/99","S08000017","SMR04"," ",830,870,790,650,"230"," "
"1998/99","S08000029","Total","d",2280,2300,2050,1530,"480"," "
"1998/99","S08000029","SMR01"," ",320,310,270,260," ",":"
"1998/99","S08000029","SMR04"," ",1960,1980,1770,1290,"480"," "
"1998/99","S08000019","Total","d",1690,1750,1530,1210,"330"," "
"1998/99","S08000019","SMR01"," ",300,300,280,260," ",":"
"1998/99","S08000019","SMR04"," ",1390,1450,1250,980,"330"," "
"1998/99","S08000020","Total","d",3670,3700,3360,2580,"610"," "
"1998/99","S08000020","SMR01"," ",980,980,900,810," ",":"
"1998/99","S08000020","SMR04"," ",2690,2720,2460,1870,"610"," "
"1998/99","S08000031","Total","d",10810,11050,10000,7810,"2010"," "
"1998/99","S08000031","SMR01"," ",2720,2760,2440,2210," ",":"
"1998/99","S08000031","SMR04"," ",8090,8290,7550,5820,"2010"," "
"1998/99","S08000022","Total","d",3210,3190,3000,2150,"360"," "
"1998/99","S08000022","SMR01"," ",1120,1120,1010,830," ",":"
"1998/99","S08000022","SMR04"," ",2080,2080,1980,1450,"360"," "
"1998/99","S08000032","Total","d",3580,3590,3230,2470,"670"," "
"1998/99","S08000032","SMR01"," ",790,780,710,640," ",":"
"1998/99","S08000032","SMR04"," ",2790,2810,2520,1910,"670"," "
"1998/99","S08000024","Total","d",6530,6580,5950,4250,"1070"," "
"1998/99","S08000024","SMR01"," ",1200,1180,1030,940," ",":"
"1998/99","S08000024","SMR04"," ",5330,5400,4920,3440,"1070"," "
"1998/99","S08000025","Total","d",60,60,60,50,"0"," "
"1998/99","S08000025","SMR01"," ",60,60,60,50," ",":"
"1998/99","S08000025","SMR04"," ",0,0,0,0,"0"," "
"1998/99","S08000026","Total","d",110,110,110,80,"0"," "
"1998/99","S08000026","SMR01"," ",110,110,110,80," ",":"
"1998/99","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1998/99","S08000030","Total","d",3650,3740,3330,2590,"700"," "
"1998/99","S08000030","SMR01"," ",730,730,680,590," ",":"
"1998/99","S08000030","SMR04"," ",2920,3000,2650,2080,"700"," "
"1998/99","S08000028","Total","d",190,170,170,140,"40"," "
"1998/99","S08000028","SMR01"," ",130,130,130,110," ",":"
"1998/99","S08000028","SMR04"," ",50,40,40,40,"40"," "
"1998/99","SB0802","Total","d",80,60,20,60,"250"," "
"1998/99","SB0802","SMR01"," ",0,0,0,0," ",":"
"1998/99","SB0802","SMR04"," ",80,60,20,60,"250"," "
"1999/00","S08000015","Total","d",3260,3280,3070,2170,"450"," "
"1999/00","S08000015","SMR01"," ",810,820,770,660," ",":"
"1999/00","S08000015","SMR04"," ",2440,2460,2300,1630,"450"," "
"1999/00","S08000016","Total","d",880,880,760,600,"120"," "
"1999/00","S08000016","SMR01"," ",220,220,210,190," ",":"
"1999/00","S08000016","SMR04"," ",660,660,550,440,"120"," "
